closetCleaner ignored Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
              Tant. Broth |          0 |                 Sack |                                                                                          |                                     jug of tantalizing broth
          Adamant. Statue |          0 |                 Safe |                                                                                          |                                           adamantoise statue
          Storage Slip 04 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 04
             Windy Greens |          0 |                 Sack |                                                                                          |                                      handful of windy greens
             Bubbly Broth |          0 |             Wardrobe |                                                                                          |                                          jug of bubbly broth
            Fafnir Statue |          0 |                 Safe |                                                                                          |                                                Fafnir statue
          Storage Slip 12 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 12
             Mahogany Bed |          0 |                 Safe |                                                                                          |                                                 mahogany bed
           Stationery Set |          0 |                 Safe |                                                                                          |                                               stationery set
           Guardian Board |          0 |                 Safe |                                                                                          |                                               guardian board
       Official Reflector |          0 |               Safe 2 |                                                                                          |                                      official soul reflector
        Imperial Standard |          0 |                 Safe |                                                                                          |                                            Imperial standard
           E♂ Mannequin |          0 |                 Safe |                                                                                          |                                         Elvaan ♂ mannequin
        Yellow 3D Almirah |          0 |                 Safe |                                                                                          |                                      yellow 3-drawer almirah
              Cobra Staff |          0 |             Wardrobe |                                                                                          |                                                  Cobra staff
           Festival Dolls |          0 |                 Safe |                                                                                          |                                        set of festival dolls
          Crepe B. Helene |          0 |                 Case |                                                                                          |                                           crepe belle helene
             Jeunoan Flag |          0 |                 Safe |                                                                                          |                                                 Jeunoan flag
         Midras's Helm +1 |          0 |           Wardrobe 3 |                                                                                          |                                             Midras's helm +1
         Windurstian Flag |          0 |                 Safe |                                                                                          |                                             Windurstian flag
           Tavnazian Ring |          0 |           Wardrobe 2 |                                                                                          |                                               Tavnazian ring
              Olduum Ring |          0 |           Wardrobe 2 |                                                                                          |                                                  Olduum ring
          Storage Slip 20 |          0 |                 Sack |                                                                                          |                                       moogle storage slip 20
           Pet Food Theta |          1 |     Satchel, Satchel | BST                                                                                      |                                       Pet Food Theta biscuit
              Warp Cudgel |         83 |             Wardrobe | BST,NIN,COR,DRK,DNC,MNK,RNG,PUP,THF                                                      |                                                  Warp cudgel
