closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
            Chev. Cuirass |          1 |            NOT FOUND | PLD                                                                                      |                                          chevalier's cuirass
          Kasuga Sune-Ate |          1 |              Satchel | SAM                                                                                      |                                              kasuga sune-ate
            Bhikku Gloves |          1 |              Satchel | MNK                                                                                      |                                                bhikku gloves
             Koga Sarashi |          1 |             Wardrobe | NIN                                                                                      |                                                 koga sarashi
              Levia. Ring |          1 |            NOT FOUND | PLD                                                                                      |                                               Leviathan ring
               Fang Arrow |          1 |            NOT FOUND | NIN                                                                                      |                                                   fang arrow
        Luhlaza Bazubands |          1 |              Satchel | BLU                                                                                      |                                            luhlaza bazubands
       Nvrch. Tricorne +2 |          1 |            NOT FOUND | COR                                                                                      |                                        navarch's tricorne +2
         Toetapper Mantle |          1 |           Wardrobe 3 | DNC                                                                                      |                                             toetapper mantle
           Karagoz Guanti |          1 |            NOT FOUND | PUP                                                                                      |                                               karagoz guanti
          Geomancy Galero |          1 |                 Case | GEO                                                                                      |                                              geomancy galero
            Horos Casaque |          1 |            NOT FOUND | DNC                                                                                      |                                                horos casaque
          Orion Jerkin +1 |          1 |            NOT FOUND | RNG                                                                                      |                                              orion jerkin +1
           Dancer's Tiara |          1 |            NOT FOUND | DNC                                                                                      |                                               dancer's tiara
        Spaekona's Gloves |          1 |               Locker | BLM                                                                                      |                                            spaekona's gloves
           Commodore Belt |          1 |            NOT FOUND | COR                                                                                      |                                               commodore belt
       Cirque Cappello +2 |          1 |            NOT FOUND | PUP                                                                                      |                                           cirque cappello +2
            Cab. Breeches |          1 |            NOT FOUND | PLD                                                                                      |                                         caballarius breeches
           Plun. Culottes |          1 |                 Case | THF                                                                                      |                                         plunderer's culottes
         Estq. Chappel +2 |          1 |            NOT FOUND | RDM                                                                                      |                                       estoqueur's chappel +2
         Desultor Tassets |          1 |              Satchel | BST                                                                                      |                                             desultor tassets
             Supay Weskit |          1 |                 Sack | BLM                                                                                      |                                                 supay weskit
           Atrophy Tights |          1 |            NOT FOUND | RDM                                                                                      |                                               atrophy tights
         Charmer's Merlin |          1 |               Locker | BST                                                                                      |                                             charmer's merlin
          Perception Ring |          1 |           Wardrobe 2 | BLU                                                                                      |                                              perception ring
             Cab. Surcoat |          1 |            NOT FOUND | PLD                                                                                      |                                          caballarius surcoat
          Runeist Bandeau |          1 |               Locker | RUN                                                                                      |                                              runeist bandeau
            Kasuga Kabuto |          1 |                 Sack | SAM                                                                                      |                                                kasuga kabuto
          Hunter's Jerkin |          1 |            NOT FOUND | RNG                                                                                      |                                              hunter's jerkin
                    Angon |          1 |           Wardrobe 3 | DRG                                                                                      |                                                        angon
          Sylvan Caban +2 |          1 |            NOT FOUND | RNG                                                                                      |                                              sylvan caban +2
               Agoge Mask |          1 |               Locker | WAR                                                                                      |                                                   agoge mask
           Foire Dastanas |          1 |            NOT FOUND | PUP                                                                                      |                                               foire dastanas
         Sonia's Plectrum |          1 |            NOT FOUND | PLD                                                                                      |                                             Sonia's plectrum
            Helios Gloves |          1 |                 Safe | RDM                                                                                      |                                                helios gloves
            Bihu Cannions |          1 |                 Sack | BRD                                                                                      |                                                bihu cannions
            Asteria Mitts |          1 |                 Case | SMN                                                                                      |                                                asteria mitts
             Stout Bonnet |          1 |              Satchel | BST                                                                                      |                                                 stout bonnet
               Witchstone |          1 |            NOT FOUND | RDM                                                                                      |                                                   witchstone
           Hes. Gloves +1 |          1 |               Locker | MNK                                                                                      |                                        hesychast's gloves +1
            Automaton Oil |          1 |            NOT FOUND | PUP                                                                                      |                                         can of automaton oil
         Con. Pigaches +1 |          1 |                 Safe | SMN                                                                                      |                                       convoker's pigaches +1
        Atrophy Gloves +1 |          1 |                 Sack | RDM                                                                                      |                                            atrophy gloves +1
            Amini Gapette |          1 |           Wardrobe 3 | RNG                                                                                      |                                                amini gapette
           Hunter's Socks |          1 |            NOT FOUND | RNG                                                                                      |                                               hunter's socks
             Wicce Gloves |          1 |               Locker | BLM                                                                                      |                                                 wicce gloves
         Hunter's Braccae |          1 |            NOT FOUND | RNG                                                                                      |                                             hunter's braccae
       Corsair's Tricorne |          1 |            NOT FOUND | COR                                                                                      |                                           corsair's tricorne
       Togakushi Shuriken |          1 |           Wardrobe 3 | NIN                                                                                      |                                           togakushi shuriken
       Dancer's Toe Shoes |          1 |            NOT FOUND | DNC                                                                                      |                                           dancer's toe shoes
              Kasuga Kote |          1 |              Satchel | SAM                                                                                      |                                                  kasuga kote
         Buffoon's Collar |          1 |            NOT FOUND | PUP                                                                                      |                                             buffoon's collar
        Creed Sabatons +2 |          1 |            NOT FOUND | PLD                                                                                      |                                            creed sabatons +2
              Laic Mantle |          1 |            NOT FOUND | BST                                                                                      |                                                  laic mantle
        Charis Casaque +2 |          1 |            NOT FOUND | DNC                                                                                      |                                            charis casaque +2
       Nvrch. Culottes +2 |          1 |            NOT FOUND | COR                                                                                      |                                        navarch's culottes +2
        Karagoz Pantaloni |          1 |            NOT FOUND | PUP                                                                                      |                                            karagoz pantaloni
              Horos Tiara |          1 |            NOT FOUND | DNC                                                                                      |                                                  horos tiara
         Sakonji Sune-Ate |          1 |               Locker | SAM                                                                                      |                                             sakonji sune-ate
         Karagoz Cappello |          1 |            NOT FOUND | PUP                                                                                      |                                             karagoz cappello
                Soil Belt |          1 |            NOT FOUND | PLD                                                                                      |                                                    soil belt
             Olympus Sash |          1 |            NOT FOUND | PLD                                                                                      |                                                 olympus sash
        Amini Glovelettes |          1 |               Safe 2 | RNG                                                                                      |                                            amini glovelettes
         Dancer's Bangles |          1 |            NOT FOUND | DNC                                                                                      |                                             dancer's bangles
             Boii Cuisses |          1 |            NOT FOUND | WAR                                                                                      |                                                 boii cuisses
           Wayfarer Clogs |          1 |            NOT FOUND | COR                                                                                      |                                               wayfarer clogs
       Cirque Farsetto +2 |          1 |            NOT FOUND | PUP                                                                                      |                                           cirque farsetto +2
           Karagoz Scarpe |          1 |            NOT FOUND | PUP                                                                                      |                                               karagoz scarpe
                Boii Mask |          1 |            NOT FOUND | WAR                                                                                      |                                                    boii mask
            Thr. Tomahawk |          1 |           Wardrobe 3 | WAR                                                                                      |                                            throwing tomahawk
            Key Ring Belt |          1 |           Wardrobe 3 | THF                                                                                      |                                                key ring belt
           Fu. Bandeau +1 |          1 |            NOT FOUND | RUN                                                                                      |                                           futhark bandeau +1
         Karagoz Farsetto |          1 |            NOT FOUND | PUP                                                                                      |                                             karagoz farsetto
             Faith Torque |          1 |             Wardrobe | MNK                                                                                      |                                                 faith torque
          Brioso Cuffs +1 |          1 |                 Case | BRD                                                                                      |                                              brioso cuffs +1
         Leth. Gantherots |          1 |            NOT FOUND | RDM                                                                                      |                                          lethargy gantherots
        Rune. Trousers +1 |          1 |                 Safe | RUN                                                                                      |                                          runeist trousers +1
              Shadow Belt |          1 |            NOT FOUND | PLD                                                                                      |                                                  shadow belt
              Lutian Cape |          1 |     Safe, Wardrobe 3 | RNG                                                                                      |                                                  lutian cape
       Hospitaler Earring |          1 |            NOT FOUND | PLD                                                                                      |                                           hospitaler earring
            Iximulew Cape |          1 |            NOT FOUND | PLD                                                                                      |                                                iximulew cape
             Angel's Ring |          1 |           Wardrobe 3 | MNK                                                                                      |                                                 angel's ring
           Pup. Churidars |          1 |            NOT FOUND | PUP                                                                                      |                                           puppetry churidars
                Flax Sash |          1 |             Wardrobe | THF                                                                                      |                                                    flax sash
           Runeist Bottes |          1 |                 Safe | RUN                                                                                      |                                               runeist bottes
             Luzaf's Ring |          1 |            NOT FOUND | COR                                                                                      |                                                 Luzaf's ring
          Rimeice Earring |          1 |           Wardrobe 2 | BST                                                                                      |                                              rimeice earring
             Weard Mantle |          1 |            NOT FOUND | PLD                                                                                      |                                                 weard mantle
         Dancer's Casaque |          1 |            NOT FOUND | DNC                                                                                      |                                             dancer's casaque
            Hachiya Tekko |          1 |           Wardrobe 4 | NIN                                                                                      |                                                hachiya tekko
        Anchorite's Crown |          1 |               Locker | MNK                                                                                      |                                            anchorite's crown
            Shadow Gorget |          1 |            NOT FOUND | PLD                                                                                      |                                                shadow gorget
      Charis Toe Shoes +2 |          1 |            NOT FOUND | DNC                                                                                      |                                          charis toe shoes +2
           Kasuga Haidate |          1 |               Locker | SAM                                                                                      |                                               kasuga haidate
       Anchorite's Gloves |          1 |            NOT FOUND | MNK                                                                                      |                                           anchorite's gloves
              Laksa. Frac |          1 |            NOT FOUND | COR                                                                                      |                                             laksamana's frac
           Chev. Sabatons |          1 |            NOT FOUND | PLD                                                                                      |                                         chevalier's sabatons
          Pummeler's Mask |          1 |               Safe 2 | WAR                                                                                      |                                              pummeler's mask
        Atrophy Tabard +1 |          1 |            NOT FOUND | RDM                                                                                      |                                            atrophy tabard +1
        Chevalier's Armet |          1 |            NOT FOUND | PLD                                                                                      |                                            chevalier's armet
         Kaabnax Trousers |          1 |               Locker | THF                                                                                      |                                             kaabnax trousers
              Lavalier +1 |          1 |            NOT FOUND | PLD                                                                                      |                                                  lavalier +1
        Agoge Mufflers +1 |          1 |               Safe 2 | WAR                                                                                      |                                            agoge mufflers +1
       Anchorite's Cyclas |          1 |               Safe 2 | MNK                                                                                      |                                           anchorite's cyclas
            Spae. Coat +1 |          1 |              Satchel | BLM                                                                                      |                                           spaekona's coat +1
           Beck. Pigaches |          1 |              Satchel | SMN                                                                                      |                                          beckoner's pigaches
          Chev. Gauntlets |          1 |            NOT FOUND | PLD                                                                                      |                                        chevalier's gauntlets
              Buremte Hat |          1 |                 Sack | RDM                                                                                      |                                                  Buremte hat
                     Kali |          1 |              Satchel | BRD                                                                                      |                                                         kali
              Soil Gorget |          1 |            NOT FOUND | PLD                                                                                      |                                                  soil gorget
            Creed Cuirass |          1 |            NOT FOUND | PLD                                                                                      |                                                creed cuirass
            Lithelimb Cap |          1 |                 Sack | SAM                                                                                      |                                                lithelimb cap
      Chevalier's Cuisses |          1 |            NOT FOUND | PLD                                                                                      |                                          chevalier's cuisses
          Foire Babouches |          1 |            NOT FOUND | PUP                                                                                      |                                              foire babouches
              Lanun Gants |          2 |            NOT FOUND | COR                                                                                      |                                                  lanun gants
        Hypaspist Earring |          2 |              Satchel | BST                                                                                      |                                            hypaspist earring
          Nukumi Cabasset |          2 |              Satchel | BST                                                                                      |                                              nukumi cabasset
          Ankusa Jackcoat |          2 |              Satchel | BST                                                                                      |                                              ankusa jackcoat
           Tantra Tathlum |          2 |              Satchel | MNK                                                                                      |                                               tantra tathlum
           Luhlaza Jubbah |          2 |              Satchel | BLU                                                                                      |                                               luhlaza jubbah
         Mdk. Dastanas +1 |          2 |           Wardrobe 3 | BRD                                                                                      |                                         Marduk's dastanas +1
          Loquac. Earring |          2 |            NOT FOUND | PLD                                                                                      |                                           loquacious earring
          Ferine Necklace |          2 |             Wardrobe | BST                                                                                      |                                              ferine necklace
               Hes. Crown |          2 |               Locker | MNK                                                                                      |                                            hesychast's crown
        Charis Bangles +2 |          2 |            NOT FOUND | DNC                                                                                      |                                            charis bangles +2
       Skulker's Culottes |          2 |               Locker | THF                                                                                      |                                           skulker's culottes
          Piety Bliaut +1 |          2 |               Safe 2 | WHM                                                                                      |                                              piety bliaut +1
     Pillager's Poulaines |          2 |                 Case | THF                                                                                      |                                         pillager's poulaines
             Horos Tights |          2 |            NOT FOUND | DNC                                                                                      |                                                 horos tights
          Arc. Braccae +1 |          2 |                 Safe | RNG                                                                                      |                                          arcadian braccae +1
          Aoidos' Matinee |          2 |             Wardrobe | BRD                                                                                      |                                              aoidos' matinee
          Leth. Fuseau +1 |          2 |               Locker | RDM                                                                                      |                                           lethargy fuseau +1
           Acad. Pants +1 |          2 |                 Sack | SCH                                                                                      |                                          academic's pants +1
         Cirque Guanti +2 |          2 |            NOT FOUND | PUP                                                                                      |                                             cirque guanti +2
             Hagondes Hat |          2 |                 Sack | SMN,BLM                                                                                  |                                                 Hagondes hat
           Repulse Mantle |          2 |            NOT FOUND | PLD                                                                                      |                                               repulse mantle
            Anch. Gaiters |          2 |              Satchel | MNK                                                                                      |                                          anchorite's gaiters
          Vlr. Surcoat +1 |          2 |            NOT FOUND | PLD                                                                                      |                                             valor surcoat +1
            Chironic Hose |          2 |               Safe 2 | WHM                                                                                      |                                                chironic hose
           Aliyat Chakram |          2 |           Wardrobe 4 | NIN,DNC                                                                                  |                                               aliyat chakram
           Sheltered Ring |          2 |            NOT FOUND | PLD                                                                                      |                                               sheltered ring
            Maniacus Sash |          2 |             Wardrobe | SCH,BLM                                                                                  |                                                maniacus sash
             Creed Collar |          2 |            NOT FOUND | PLD                                                                                      |                                                 creed collar
               Sinew Belt |          2 |             Wardrobe | MNK                                                                                      |                                                   sinew belt
        Whirlpool Greaves |          2 |            NOT FOUND | PLD                                                                                      |                                            whirlpool greaves
       Arciela's Grace +1 |          2 |             Wardrobe | BLU,BLM                                                                                  |                                           Arciela's Grace +1
        Assim. Charuqs +1 |          2 |                 Case | BLU                                                                                      |                                     assimilator's charuqs +1
            Nukumi Ocreae |          2 |              Satchel | BST                                                                                      |                                                nukumi ocreae
           Nvrch. Frac +2 |          2 |            NOT FOUND | COR                                                                                      |                                            navarch's frac +2
       Mochizuki Tekko +2 |          2 |               Locker | NIN                                                                                      |                                           mochizuki tekko +2
           Agoge Calligae |          2 |                 Sack | WAR                                                                                      |                                               agoge calligae
             Anwig Salade |          2 |              Satchel | BST                                                                                      |                                                 anwig salade
          Charis Tiara +2 |          2 |            NOT FOUND | DNC                                                                                      |                                              charis tiara +2
            Boii Mufflers |          2 |               Safe 2 | WAR                                                                                      |                                                boii mufflers
       Scintillating Cape |          2 |                 Case | SMN                                                                                      |                                           scintillating cape
              Ankusa Helm |          2 |              Satchel | BST                                                                                      |                                                  ankusa helm
          Yamabuki-no-Obi |          2 |             Wardrobe | RUN                                                                                      |                                              yamabuki-no-obi
             Lanun Bottes |          2 |            NOT FOUND | COR                                                                                      |                                                 lanun bottes
            Boii Calligae |          2 |               Safe 2 | WAR                                                                                      |                                                boii calligae
              Hes. Cyclas |          2 |               Locker | MNK                                                                                      |                                           hesychast's cyclas
